Id,URL,Title,Audio,Captions,Polarity,Pickle
65,https://www.youtube.com/watch?v=z4f48M999Rk,How To Tell If Someone Is Lying To You,audio/65.wav,subtitles/65.srt,polarity_csv/polarity_65.csv,pickle_lists/polarity_65.p
66,https://www.youtube.com/watch?v=EJ_S5Rjt_iI,LIVING WITH DEPRESSION,audio/66.wav,subtitles/66.srt,polarity_csv/polarity_66.csv,pickle_lists/polarity_66.p
67,https://www.youtube.com/watch?v=769DXEfP0YA,Demi Lovato’s Heartfelt Message To Anyone Considering Suicide,audio/67.wav,subtitles/67.srt,polarity_csv/polarity_67.csv,pickle_lists/polarity_67.p
69,https://www.youtube.com/watch?v=XfkmyKrQk-w,What It Feels Like To Have PTSD,audio/69.wav,subtitles/69.srt,polarity_csv/polarity_69.csv,pickle_lists/polarity_69.p
70,https://www.youtube.com/watch?v=aqu4ezLQEUA," Sabrina Benaim - """"""""Explaining My Depression to My Mother""""""""""""",audio/70.wav,subtitles/70.srt,polarity_csv/polarity_70.csv,"pickle_lists/polarity_70.p"""
71,https://www.youtube.com/watch?v=uDJ2bj2Upqg,What It’s Like To Be In A Long Distance Relationship,audio/71.wav,subtitles/71.srt,polarity_csv/polarity_71.csv,pickle_lists/polarity_71.p
72,https://www.youtube.com/watch?v=hQ6Yxh-44qY,What It’s Like To Be Bullied,audio/72.wav,subtitles/72.srt,polarity_csv/polarity_72.csv,pickle_lists/polarity_72.p
73,https://www.youtube.com/watch?v=WmZHXfg8N9M,Interview With a Social Justice Warrior (Terrorist!),audio/73.wav,subtitles/73.srt,polarity_csv/polarity_73.csv,pickle_lists/polarity_73.p
74,https://www.youtube.com/watch?v=vUztDp6gCB8,‘She Didn’t Deserve What Happened ’ Admits Gypsy Rose Blanchard Who Pled Guilty For Her Role In H…,audio/74.wav,subtitles/74.srt,polarity_csv/polarity_74.csv,pickle_lists/polarity_74.p
75,https://www.youtube.com/watch?v=oGUBTJKicyw,Father Of Murdered Teen Reveals What He Says He Learned On Social Media That Helped Him Find Son’,audio/75.wav,subtitles/75.srt,polarity_csv/polarity_75.csv,pickle_lists/polarity_75.p
76,https://www.youtube.com/watch?v=gRm-FYtAfc0,There's no reason for me to hear it': Donald Trump on audio of Jamal Khashoggi's murder,audio/76.wav,subtitles/76.srt,polarity_csv/polarity_76.csv,pickle_lists/polarity_76.p
77,https://www.youtube.com/watch?v=QMVdRKlYml8,#RefugeesWelcome: Sana of Syria,audio/77.wav,subtitles/77.srt,polarity_csv/polarity_77.csv,pickle_lists/polarity_77.p
78,https://www.youtube.com/watch?v=HLV-lJxull8,UN Envoy for Syria calls for urgent ceasefire - Press Briefing (23 Feb 2018),audio/78.wav,subtitles/78.srt,polarity_csv/polarity_78.csv,pickle_lists/polarity_78.p
79,https://www.youtube.com/watch?v=Y7p8rMPmm6w,Emma Watson Burst Into Tears When She First Saw Hermione In 'Cursed Child' | Entertainment Weekly,audio/79.wav,subtitles/79.srt,polarity_csv/polarity_79.csv,pickle_lists/polarity_79.p
80,https://www.youtube.com/watch?v=gjXrm2Q-te4,Jimmy Fallon Pays Tribute to His Mother Gloria,audio/80.wav,subtitles/80.srt,polarity_csv/polarity_80.csv,pickle_lists/polarity_80.p
81,https://www.youtube.com/watch?v=ECJqr3HN6_Q,Interview With Captured Isis Commander | Stacey Dooley: Face To Face With Isis,audio/81.wav,subtitles/81.srt,polarity_csv/polarity_81.csv,pickle_lists/polarity_81.p
82,https://www.youtube.com/watch?v=p3TYsR3oDZU,A Holocaust Survivor Recalls The Day He Was Liberated,audio/82.wav,subtitles/82.srt,polarity_csv/polarity_82.csv,pickle_lists/polarity_82.p
83,https://www.youtube.com/watch?v=SvJLemog0fQ,9/11 INSIDE THE PENTAGON | Attack on the Pentagon | PBS,audio/83.wav,subtitles/83.srt,polarity_csv/polarity_83.csv,pickle_lists/polarity_83.p
84,https://www.youtube.com/watch?v=wxSDSr0Y-tc,This Week at UBC - September 11 - September 17 2016,audio/84.wav,subtitles/84.srt,polarity_csv/polarity_84.csv,pickle_lists/polarity_84.p
85,https://www.youtube.com/watch?v=3rbpkN_RTlw,Victims React to Arrest of Suspected Golden State Killer,audio/85.wav,subtitles/85.srt,polarity_csv/polarity_85.csv,pickle_lists/polarity_85.p
86,https://www.youtube.com/watch?v=sJ8xZtxXLc8,What Makes You Happy? | 0-100,audio/86.wav,subtitles/86.srt,polarity_csv/polarity_86.csv,pickle_lists/polarity_86.p
87,https://www.youtube.com/watch?v=-ysWPJBQb4I&t=18s,Sam Smith interview: Sexuality  success and the man behind his album,audio/87.wav,subtitles/87.srt,polarity_csv/polarity_87.csv,pickle_lists/polarity_87.p
88,https://www.youtube.com/watch?v=DgofgJZX-B0,How To Be Happy,audio/88.wav,subtitles/88.srt,polarity_csv/polarity_88.csv,pickle_lists/polarity_88.p
89,https://www.youtube.com/watch?v=H25RnmslChI,How did you handle a difficult situation?' in Job Interview,audio/89.wav,subtitles/89.srt,polarity_csv/polarity_89.csv,pickle_lists/polarity_89.p
90,https://www.youtube.com/watch?v=4TFkwsBA9Ws,How to Spot a Toxic Boss (Signs of a Bad Manager and a Terrible Leader),audio/90.wav,subtitles/90.srt,polarity_csv/polarity_90.csv,pickle_lists/polarity_90.p
91,https://www.youtube.com/watch?v=w7u6SUNSU0s,What are the Benefits of Working at a Large Company - Ramsey Pryor,audio/91.wav,subtitles/91.srt,polarity_csv/polarity_91.csv,pickle_lists/polarity_91.p
92,https://www.youtube.com/watch?v=zh1BqODBMjU,Working Overtime or Working Less?,audio/92.wav,subtitles/92.srt,polarity_csv/polarity_92.csv,pickle_lists/polarity_92.p
93,https://www.youtube.com/watch?v=wlk2L7djVYc,5 Expert Tips for Group Success,audio/93.wav,subtitles/93.srt,polarity_csv/polarity_93.csv,pickle_lists/polarity_93.p
94,https://www.youtube.com/watch?v=F070R43qWs4,6 Tips on How to Have a Strong Relationship,audio/94.wav,subtitles/94.srt,polarity_csv/polarity_94.csv,pickle_lists/polarity_94.p
